gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score
PQLC1,0.12637043648815613,0.21187092990449144,-0.08550049341633531,down_in_CKD,-1.7606010740794962,-4.860920106450919,6.057855342484988e-05,0.005769089091137679,25.361313889498977,1.9372163293280465e-05,0.33702558741065813
PQLC2,0.03153079419340569,0.03795299182493119,-0.006422197631525503,down_in_CKD,-0.501199958263271,-1.3485276505270158,0.19342768238664962,0.4091386850919946,2.055284166789038,0.161688968091919,0.0012493131019146147
PQLC2L,0.011850106945956779,0.007089657190275173,0.004760449755681606,up_in_CKD,0.41188651070983484,1.1071110480657864,0.2822644544384712,0.4956114164907426,1.3880495266750055,0.24769996121998278,0.0005977562772240589
PQLC3,0.16953454105030671,0.1489132386919109,0.02062130235839582,up_in_CKD,0.28829526307901954,0.7800136047045146,0.4445683213675869,0.6038715570625048,0.6800249349310998,0.41587850938641135,0.0013022897161939456
PRADC1,0.11738090143833424,0.13153711571979698,-0.014156214281462742,down_in_CKD,-0.4898891810720108,-1.3515314783779553,0.18932629709125787,0.40620546970970683,1.9635660796205903,0.17106480624005116,0.0027133388020611974
PRAF2,0.054306135630073436,0.05261750662336371,0.001688629006709727,up_in_CKD,0.08588460407313026,0.232448756791416,0.8185577797852224,0.8874678130303066,0.06035044268289554,0.8075621085175192,7.519283416962332e-06
PRAG1,0.025905396645242846,0.008365100713528285,0.01754029593171456,up_in_CKD,1.1784407562425392,3.1509504177842533,0.005570776404816835,0.07271392344169071,11.362275948873995,0.002021840386330278,0.023530591874257045
PRAM1,0.012364316723432781,0.006699569453284634,0.005664747270148147,up_in_CKD,1.0088725232255058,2.7020514370434183,0.014528930495968926,0.12274462494714165,8.327649011885988,0.007048692939558219,0.0052063579796311635
PRAME,0.002516070026463926,0.0012591971925672335,0.0012568728338966926,up_in_CKD,0.7920522818428783,2.254293719239202,0.03182361585847703,0.18456679249388616,5.132837595047812,0.030610789072458216,0.0007305507279090646
PRAP1,0.1464507653433899,0.17225481708251825,-0.025804051739128336,down_in_CKD,-0.18144110200429278,-0.5171145694498376,0.6089343014926696,0.7361193288112257,0.26935260133526323,0.6074519573906748,0.0006229371953796074
PRB3,2.290046599446e-05,0.0,2.290046599446e-05,up_in_CKD,0.38421224293227246,0.9999999999999999,0.3342819433946576,0.5018154953177741,1.2077922077922074,0.2802320068083996,2.6348047669522957e-06
PRC1,0.006881691443221047,0.0077429484781120555,-0.0008612570348910083,down_in_CKD,-0.16751683895857386,-0.48494504635980507,0.6311367441620683,0.7530653127191873,0.22959729273823173,0.6351855216025806,1.7769977211008306e-05
PRC1-AS1,0.00012673617285316,0.0,0.00012673617285316,up_in_CKD,0.5938809874876447,1.5457107325763475,0.14447521569062569,0.394788486384595,2.8856833142669998,0.09938660286758272,3.038011330126756e-05
PRCC,0.10631507271192543,0.11098199021143663,-0.004666917499511203,down_in_CKD,-0.2060311111344498,-0.5671485720088639,0.5760643127228335,0.7100754498444615,0.3473085170887856,0.5599114345424938,0.0001429752158575567
PRCD,0.0017415683474216734,0.00020274547064448334,0.0015388228767771901,up_in_CKD,0.8914477521129133,2.3362445228906075,0.03389335487336915,0.1903302796895933,6.501919866113178,0.01593856646352851,0.0009883568124882153
PRCP,0.36342351527774797,0.3600541117402107,0.0033694035375372855,up_in_CKD,0.05111145351027468,0.139323236938054,0.8905052817138823,0.9338668337678389,0.021374023744906122,0.884711204112241,5.117380373802374e-06
PRDM1,0.025929528909529924,0.06427804746783847,-0.03834851855830854,down_in_CKD,-1.4771384396343867,-4.467461435170741,0.00013691250238447033,0.00950482905316584,17.85221975328145,0.00019462893385030144,0.11454150988867792
PRDM10,0.02038417190994489,0.014910565840488542,0.005473606069456348,up_in_CKD,0.8551410742338084,2.3238199026492175,0.03041093220854954,0.18019222699551107,5.983087555977968,0.02031686201058377,0.0034836802576465615
PRDM11,0.02285721162207742,0.027157293315410946,-0.004300081693333527,down_in_CKD,-0.35501755674060004,-1.060964582962799,0.29762145680661206,0.5018154953177741,1.0312156275878055,0.3177338866914248,0.00045715077299020106
PRDM12,4.7386046476933335e-05,0.0,4.7386046476933335e-05,up_in_CKD,0.5512651054596955,1.434793179031701,0.17330707879554336,0.3990950461560892,2.4863990440703665,0.12498567616382839,1.0420793192032399e-05
PRDM15,0.01060789277527224,0.00852336556639305,0.002084527208879189,up_in_CKD,0.5351571050970685,1.5036852609239508,0.14419279723310377,0.39440251251483505,2.343216494748066,0.13597149445562942,0.0004507493146709153
PRDM16,0.06217465208691486,0.07881871620902253,-0.01664406412210767,down_in_CKD,-0.6974735047998548,-1.9652129685467918,0.05949628624420579,0.25415804210637755,3.980203280981944,0.054892381457401385,0.006906026627754184
PRDM2,0.12150402413253923,0.11838463707362815,0.0031193870589110856,up_in_CKD,0.0958219144858057,0.26499965581538304,0.7932626436256408,0.8707843146299076,0.07512413969229595,0.7858352763864447,1.7961061303894035e-05
PRDM4,0.058432281705072524,0.08239404118311004,-0.02396175947803752,down_in_CKD,-1.4434591384979594,-4.352804391075755,0.0001769882529881197,0.010970560974842981,17.047425964199487,0.00025501232144070396,0.06778421363366423
PRDM5,0.021426042739277167,0.01607807933180678,0.005347963407470388,up_in_CKD,0.5472808012737101,1.4821025829159962,0.15385639866424242,0.3990950461560892,2.450587708168317,0.12763316613589384,0.0011675848156634118
