gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
ZNF608,0.165749410439044,0.0073739339365525,0.0405533048415641,1.9168021102173407,0.0700003823068394,0.0443879907621247,113,0.2082818105609959,0.7583333333333332,0.95,152,1.2529737596051456e-18,375,0.050492703228130834,0.18930932473271062,1.0664585096659953e-16,0.07993400932028051,213.33333333333334
EFHC1,0.1639142707981815,0.029181358816654,0.0671233458161768,1.5909797173236868,0.1104866766066444,0.0811547344110854,117,0.2016268591296302,0.7499999999999999,0.8472222222222221,160,1.2041649728626693e-18,377,0.04956342157253987,0.1705288210990236,1.0249153044959283e-16,0.0733640808905212,218.0
UBXN11,0.0848500024083698,0.0247716996496765,0.0333880951636755,1.5823506307520243,0.0762893298161104,0.0716859122401847,262,0.2092639554466345,0.7583333333333332,0.8166666666666667,149,0.0001274238227146,268,0.009526700338159935,0.19208097164610632,0.010845575897054741,0.07081774929377367,226.33333333333334
MET,0.2595776962509325,0.0212284942314021,0.0953076844796759,1.627880562045007,0.1569560729441449,0.1208775981524249,53,0.1776105047308199,0.7166666666666666,0.7694444444444444,182,0.0001243131868131,275,0.09800565692333486,0.10275383645691766,0.01058081663117254,0.07044677000380835,170.0
BMP2K,0.1320580691307868,0.0063331601001712,0.0326456141539384,1.840083061794247,0.0774935963604388,0.0663741339491916,154,0.2012849973571171,0.75,0.8805555555555555,163,1.85210643118457e-18,340,0.03343201491162625,0.16956407532632858,1.5764054507943983e-16,0.06766536341265167,219.0
CHL1,0.2376009645547133,0.020690675884025,0.0890339016649294,1.5845013046102236,0.1522728141606453,0.1221247113163972,61,0.1823446266147657,0.725,0.861111111111111,176,1.0732155904709841e-18,386,0.08687703588524186,0.11611369252209039,9.134587938415246e-17,0.06766357613577743,207.66666666666666
STK38,0.1511843819128931,0.0059283899743581,0.03523643356224,1.926559538344992,0.0807049738119815,0.0673441108545034,128,0.1948035639862733,0.7416666666666666,0.9277777777777778,168,2.348365167043745e-18,326,0.043117235159581185,0.1512732456744505,1.998792071261125e-16,0.0647968269446773,207.33333333333334
WDR19,0.0691086079691899,0.0242414532313287,0.0268886969748473,1.5910037143855051,0.0607294414497075,0.0494226327944572,320,0.2073503530105412,0.7583333333333333,0.8222222222222222,153,1.089542399656648e-18,381,0.0015555417625235473,0.18668071923628404,9.273552257965173e-17,0.06274542033293588,284.6666666666667
RUFY3,0.2168730694745835,0.0133361841689365,0.0653148996375092,1.7709218893960017,0.1301563634973429,0.0981062355658198,72,0.1754604601622543,0.7166666666666666,0.8083333333333333,183,2.7012122697353105e-18,317,0.07638080321276486,0.09668633615297496,2.2991150368394266e-16,0.057689046455246674,190.66666666666666
MCM7,0.0930085582055797,0.0204961689813857,0.0351405248287321,1.5676821877136358,0.0915051420269908,0.0762586605080831,231,0.1942510013458691,0.7416666666666666,0.8777777777777779,170,3.0919023791213282e-18,309,0.013658046024147694,0.1497138947486059,2.6316477723440868e-16,0.054457313590917954,236.66666666666666
KCNIP4,0.0854357345769399,0.0155443560697099,0.027162166766564,1.7392984128650888,0.0534082654738693,0.034041570438799,261,0.1941729596770903,0.7416666666666666,0.736111111111111,171,9.779688929523941e-19,395,0.0098233045568372,0.14949365845399207,8.32390335457932e-17,0.053105654336943114,275.6666666666667
YPEL2,0.14971766990118,0.0138795381452048,0.0483495699349749,1.6669493355442817,0.1076193753106243,0.0792147806004618,134,0.1814691930837948,0.725,0.9166666666666666,178,1.369333672762974e-18,367,0.042374518618468644,0.11364318875072384,1.1654973112529242e-16,0.05200590245639753,226.33333333333334
YDJC,0.1059331884173072,0.0209006555062278,0.039244525139237,1.6068858379318476,0.110429330580724,0.1060046189376443,199,0.1877121690111605,0.7333333333333333,0.7277777777777777,173,9.930548447048943e-19,393,0.0202028459367092,0.13126108323096217,8.452306216167854e-17,0.05048797638922382,255.0
RHOF,0.1335935925068481,0.0212378594519103,0.0475889508406442,1.678078627252363,0.0842986581029934,0.0618013856812933,153,0.1813188222081751,0.725,0.8722222222222221,179,1.3962226401069628e-18,364,0.03420957628806418,0.11321883692710777,1.188383638935608e-16,0.049142804405057354,232.0
CDC42SE2,0.2356162212035883,0.0163468799370162,0.0823842839647081,1.6008180132954448,0.2311427151431739,0.2359815242494226,62,0.1623171139511587,0.7,0.85,189,3.5487485965696963e-19,450,0.08587199760576261,0.05959535753021555,3.0204887456459295e-17,0.0484891183786594,233.66666666666666
