gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
ENPP5,0.9095238095238095,0.9083333333333332,0.9027777777777779,0.4083333333333332
PROM1,0.9095238095238095,0.9083333333333332,0.9222222222222222,0.4083333333333332
CXADR,0.9095238095238095,0.9083333333333332,0.9277777777777778,0.4083333333333332
CDKN1A,0.9142857142857143,0.9083333333333332,0.95,0.4083333333333332
TP53INP2,0.9142857142857143,0.9083333333333332,0.975,0.4083333333333332
AP1G2,0.9095238095238095,0.9083333333333332,0.8722222222222221,0.4083333333333332
SLC35F5,0.9095238095238095,0.9083333333333332,0.9194444444444443,0.4083333333333332
UBALD1,0.9142857142857143,0.9,0.9,0.4
EXOC3L1,0.9047619047619048,0.9,0.888888888888889,0.4
TRDMT1,0.9047619047619048,0.8999999999999998,0.8861111111111111,0.3999999999999998
SLC25A25,0.8857142857142858,0.8916666666666666,0.9666666666666666,0.3916666666666666
BEX1,0.8857142857142858,0.8916666666666666,0.8833333333333332,0.3916666666666666
TCEAL2,0.880952380952381,0.8916666666666666,0.8916666666666668,0.3916666666666666
DUSP8,0.8857142857142858,0.8916666666666666,0.8916666666666668,0.3916666666666666
MRPL54,0.880952380952381,0.8833333333333332,0.8777777777777779,0.3833333333333332
WFDC1,0.8761904761904763,0.8833333333333332,0.975,0.3833333333333332
CRY2,0.880952380952381,0.8833333333333332,0.9111111111111111,0.3833333333333332
TLR7,0.8857142857142858,0.8833333333333332,0.9666666666666666,0.3833333333333332
ZDHHC2,0.8809523809523808,0.8833333333333332,0.875,0.3833333333333332
ANKRD9,0.880952380952381,0.8833333333333332,0.9333333333333332,0.3833333333333332
NDUFA8,0.8857142857142858,0.8833333333333332,0.9166666666666666,0.3833333333333332
FKBP5,0.880952380952381,0.8833333333333332,0.975,0.3833333333333332
TSPYL2,0.880952380952381,0.8833333333333332,0.9833333333333332,0.3833333333333332
GATA6,0.8761904761904763,0.8833333333333332,0.9527777777777778,0.3833333333333332
PIM3,0.880952380952381,0.8833333333333332,0.9666666666666666,0.3833333333333332
SAMD12,0.8809523809523808,0.8833333333333332,0.9333333333333332,0.3833333333333332
ORC5,0.8857142857142858,0.8833333333333332,0.9,0.3833333333333332
OLIG1,0.8761904761904763,0.8833333333333332,0.8638888888888889,0.3833333333333332
KLF15,0.8809523809523808,0.8833333333333332,0.9444444444444444,0.3833333333333332
GPX8,0.8809523809523808,0.8833333333333332,0.925,0.3833333333333332
IKZF2,0.8857142857142858,0.8833333333333332,0.9083333333333332,0.3833333333333332
SEMA4D,0.880952380952381,0.875,0.9333333333333332,0.375
SEL1L3,0.8761904761904763,0.875,0.861111111111111,0.375
FOXO3,0.8714285714285716,0.875,0.8861111111111111,0.375
GADD45A,0.880952380952381,0.875,0.9666666666666666,0.375
ADAM12,0.880952380952381,0.875,0.8777777777777779,0.375
HRK,0.8761904761904763,0.875,0.9277777777777778,0.375
IKBKE,0.8714285714285716,0.875,0.9333333333333333,0.375
RASD1,0.8857142857142858,0.875,0.9416666666666667,0.375
BCL2L15,0.8809523809523808,0.875,0.8916666666666666,0.375
TPBG,0.8761904761904763,0.875,0.875,0.375
EPAS1,0.8761904761904763,0.875,0.8666666666666666,0.375
PIP5K1B,0.8761904761904763,0.8749999999999998,1.0,0.3749999999999998
VCAM1,0.8761904761904763,0.8749999999999998,0.9222222222222222,0.3749999999999998
NEDD9,0.8761904761904763,0.8749999999999998,0.875,0.3749999999999998
BMP4,0.8571428571428571,0.8666666666666666,0.95,0.3666666666666666
TBXA2R,0.8714285714285713,0.8666666666666666,0.9222222222222222,0.3666666666666666
SPATA2,0.8571428571428571,0.8666666666666666,0.925,0.3666666666666666
SLC41A2,0.8761904761904763,0.8666666666666666,0.861111111111111,0.3666666666666666
MAPK15,0.8761904761904763,0.8666666666666666,0.8916666666666666,0.3666666666666666
DTX4,0.8523809523809524,0.8666666666666666,0.8916666666666666,0.3666666666666666
P2RY6,0.8714285714285716,0.8666666666666666,0.9111111111111111,0.3666666666666666
PLEKHA1,0.8761904761904763,0.8666666666666666,0.95,0.3666666666666666
WDR5B,0.8476190476190476,0.8583333333333334,1.0,0.3583333333333334
WNT7A,0.8523809523809524,0.8583333333333332,0.875,0.35833333333333317
SLC31A2,0.8571428571428571,0.8583333333333332,0.925,0.35833333333333317
ADAMTS8,0.8523809523809524,0.8583333333333332,0.9194444444444445,0.35833333333333317
ISCA1,0.8523809523809526,0.8583333333333332,0.8194444444444444,0.35833333333333317
HTRA3,0.8476190476190475,0.8583333333333332,0.8805555555555555,0.35833333333333317
SH3BGR,0.8571428571428571,0.8583333333333332,0.8583333333333334,0.35833333333333317
CYCS,0.8523809523809524,0.8583333333333332,0.9166666666666667,0.35833333333333317
EPHA7,0.8523809523809524,0.8583333333333332,0.9,0.35833333333333317
EMD,0.8523809523809524,0.8583333333333332,0.9583333333333333,0.35833333333333317
SERPINA4,0.8523809523809526,0.8583333333333332,0.8,0.35833333333333317
NDUFAF4,0.8523809523809524,0.8583333333333332,0.8527777777777779,0.35833333333333317
FZD1,0.8523809523809524,0.8583333333333332,0.8777777777777779,0.35833333333333317
ZBTB16,0.8523809523809524,0.8583333333333332,0.875,0.35833333333333317
ANKS1A,0.8476190476190476,0.8583333333333332,0.8555555555555555,0.35833333333333317
ARRDC3,0.8523809523809526,0.8583333333333332,0.8833333333333332,0.35833333333333317
CISH,0.8523809523809524,0.8583333333333332,0.9,0.35833333333333317
TMEM204,0.8476190476190476,0.85,0.9333333333333333,0.35
KANSL1L,0.8523809523809524,0.85,0.9083333333333332,0.35
HOXA3,0.8476190476190476,0.85,0.9444444444444444,0.35
STARD8,0.8428571428571429,0.85,0.9333333333333333,0.35
CDH6,0.8476190476190476,0.85,0.9333333333333333,0.35
UBE2B,0.8523809523809526,0.85,0.8722222222222221,0.35
VPS37B,0.8428571428571429,0.85,0.8833333333333334,0.35
C1orf115,0.8523809523809526,0.85,0.9444444444444443,0.35
ATP4B,0.8523809523809524,0.85,0.9194444444444445,0.35
CASP2,0.8476190476190476,0.85,0.85,0.35
SYT8,0.8523809523809526,0.85,0.8833333333333332,0.35
SGK1,0.8523809523809524,0.85,0.9833333333333332,0.35
