gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
CUTC,0.06922310585387308,0.07589909837586954,-0.0066759925219964655,-0.3341178100026988,-0.8400802636571976,0.4104596458687199,1.0,0.05877967656841381,0.05802610615758728,0.0007535704108265345,15,12,True,down_in_case,-0.0
CUX1,0.24495398939037508,0.2277066130816049,0.017247376308770185,0.34603904240690586,0.871731185204214,0.3932360325846612,1.0,0.18832434912260582,0.16767755820778713,0.02064679091481869,15,12,True,up_in_case,-0.0
CWC15,0.28586835914251435,0.28650507146667,-0.0006367123241556305,-0.011712664909852706,-0.03109195433666172,0.9754431396343488,1.0,0.2238788851932561,0.21083377588953797,0.013045109303718133,15,12,True,down_in_case,-0.0
CWC22,0.12020211447094148,0.11903911556828424,0.001162998902657239,0.033375920646691426,0.08538875049649557,0.9326979370882706,1.0,0.099762969759529,0.08963859462783352,0.010124375131695479,15,12,True,up_in_case,-0.0
CWC25,0.10237883347027622,0.10679416806510082,-0.004415334594824599,-0.16350812900573902,-0.4040517760548042,0.6908142192689958,1.0,0.08664984516573002,0.07979987142577634,0.006849973739953677,15,12,True,down_in_case,-0.0
CWC27,0.07183880418032929,0.07080449485499186,0.0010343093253374208,0.062107052350606214,0.16212183999255309,0.87253768915426,1.0,0.06472454792216233,0.0583056153394639,0.006418932582698426,15,12,True,up_in_case,-0.0
CX3CL1,0.10168093485196471,0.09686034295570549,0.004820591896259219,0.16243409069313178,0.42378853502155395,0.6754170872453509,1.0,0.08273120006116909,0.0784861782709562,0.004245021790212883,15,12,True,up_in_case,-0.0
CXCL12,0.24671403340891357,0.22807793571098367,0.0186360976979299,0.10398849424649045,0.26384878850904137,0.7943703383654346,1.0,0.1633214818213098,0.16594460128015207,-0.002623119458842277,15,12,True,up_in_case,-0.0
CXXC1,0.12185397772833165,0.12110597401288635,0.0007480037154452973,0.02473896445990986,0.06638746142666353,0.9476040519822083,1.0,0.10025996865083917,0.1002319926209576,2.7976029881568443e-05,15,12,True,up_in_case,-0.0
CYB561,0.09205691904558905,0.08610435769536283,0.005952561350226218,0.18964313091492643,0.4987822890620383,0.6223150005167372,1.0,0.08370608250181595,0.07781535623445231,0.005890726267363644,15,12,True,up_in_case,-0.0
CYB561A3,0.08067752298199264,0.08688953281509802,-0.006212009833105381,-0.25465486181734504,-0.6986375816388464,0.49189185106283617,1.0,0.0662920059639867,0.0705201665874724,-0.004228160623485702,15,12,True,down_in_case,-0.0
CYB5B,0.21958771105414496,0.216412327172582,0.0031753838815629654,0.06858053743874552,0.1849255265726896,0.8548162331903633,1.0,0.1829529380280613,0.18120580261061575,0.0017471354174455611,15,12,True,up_in_case,-0.0
CYB5D1,0.054937877744415005,0.04966783011088661,0.005270047633528396,0.31321593367106365,0.7955470894073509,0.4348097605656806,1.0,0.05174523072217762,0.05148559130167426,0.0002596394205033603,15,12,True,up_in_case,-0.0
