gene,elasticnet_coefficient,abs_elasticnet_coefficient,selected_by_model,best_C,best_l1_ratio,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control
NDUFB7,0.0,0.0,False,0.3593813663804626,0.5,0.8289303268280889,0.003733647928403674,-0.19859913119421635,-1.7191582563339798,0.6424284130443093,0.7614780600461893
TNFRSF11B,0.0,0.0,False,0.3593813663804626,0.5,0.8269723313919218,0.005705841309885092,0.17190022713169764,2.1441420389914208,0.16634170585311772,0.09302540415704388
RGCC,0.0,0.0,False,0.3593813663804626,0.5,0.8102163546196159,0.00273502136383122,-0.17685301405464365,-1.78744743131189,0.06107351760522996,0.15196304849884526
CDKN1A,0.0,0.0,False,0.3593813663804626,0.5,0.7899296028825081,0.005705706743843502,-0.20374222407072382,-1.7280025831088897,0.04629735825973927,0.20554272517321015
PLAT,0.0,0.0,False,0.3593813663804626,0.5,0.7893167409823041,0.0014247982663157335,-0.14482230750588615,-1.9148877589214794,0.04862942998050235,0.09852193995381062
TSPAN1,0.0,0.0,False,0.3593813663804626,0.5,0.7892237193375666,0.031428471389245136,0.32778297519368044,1.6023160086664803,0.3588331995259395,0.22859122401847576
RGS3,0.0,0.0,False,0.3593813663804626,0.5,0.7887326671487631,0.0007064122716975868,-0.11827565058261123,-2.1163822292075567,0.0885040333371564,0.19579676674364896
VPS37B,0.0,0.0,False,0.3593813663804626,0.5,0.7862201888486079,0.0005411458847436331,-0.1086266330196535,-2.2156467991944035,0.08452804220667508,0.19935334872979216
NDUFB6,0.0,0.0,False,0.3593813663804626,0.5,0.785393209089979,0.0010465240234516762,-0.132516104438212,-1.988683490804029,0.3113124593798983,0.4500692840646651
CYSTM1,0.0,0.0,False,0.3593813663804626,0.5,0.7773183124966437,0.01906916605211024,-0.3047463415754543,-1.4832546310512493,0.6107351760522995,0.7196304849884526
DNAJC19,0.0,0.0,False,0.3593813663804626,0.5,0.7722176825081665,0.003261678456296378,-0.17656295635137936,-1.7589010449987719,0.3289941507053561,0.4689145496535797
IGFBP5,0.0,0.0,False,0.3593813663804626,0.5,0.7665326764083902,0.021105448051993665,-0.32297973716392425,-1.4163925665476602,0.2038077761211148,0.2749653579676674
UQCRB,0.0,0.0,False,0.3593813663804626,0.5,0.7653210487488997,0.013894350891517531,-0.26646347722835295,-1.5465224883227604,0.739725503689261,0.8344572748267899
UQCRH,0.0,0.0,False,0.3593813663804626,0.5,0.7649537064720721,0.014121853690884121,-0.2702414753900788,-1.5299808687128218,0.6519478533470964,0.7587528868360277
PIGR,0.0,0.0,False,0.3593813663804626,0.5,0.7554307104701635,0.048419106506452515,0.39177886100180653,1.4663357496879252,0.4306877700042054,0.30521939953810623
NDUFB1,0.0,0.0,False,0.3593813663804626,0.5,0.7169058718299169,0.01906916605211024,-0.2850962043388279,-1.462264769686321,0.6195282333600948,0.7536258660508083
PROM1,0.0,0.0,False,0.3593813663804626,0.5,0.6971012219548752,0.012635594169472079,0.1869801566248675,1.963864902851639,0.16376113468669953,0.05926096997690531
MMP7,0.0,0.0,False,0.3593813663804626,0.5,0.6948201741600796,0.02717791019559018,0.2805094363608366,1.5819513000485945,0.21630920977176282,0.0895150115473441
JUN,0.0,0.0,False,0.3593813663804626,0.5,0.6936653834954954,0.05679506985072306,-0.4929713246181481,-1.12958419899671,0.34679053408265476,0.5390300230946882
CYBA,0.0,0.0,False,0.3593813663804626,0.5,0.6914733587333038,0.03981762159663317,0.3488280982803301,1.4159871764530378,0.5531406506862407,0.49773672055427254
PINK1,0.0,0.0,False,0.3593813663804626,0.5,0.6884926792956715,0.0008984051753211222,-0.11212263873989728,-2.015583886087401,0.19960240088695186,0.3170900692840647
TNFSF10,0.0,0.0,False,0.3593813663804626,0.5,0.6848996023380972,0.015096726517758301,0.2267663212090012,1.6584808465193142,0.28887104790304696,0.2112240184757506
GAS6,0.0,0.0,False,0.3593813663804626,0.5,0.6731278308057047,0.008575257387723571,-0.2024440552450425,-1.6088071088495792,0.22254081125511335,0.3844341801385681
CKB,0.0,0.0,False,0.3593813663804626,0.5,0.6694860826732468,0.027268138839049452,-0.32762660440715485,-1.3062610943414834,0.47595289979737737,0.5488221709006929
NFIL3,0.0,0.0,False,0.3593813663804626,0.5,0.6684097665987627,0.0013114330351473183,-0.10862790352693308,-2.1348588027728224,0.037752800397599116,0.14868360277136258
MARCKS,0.0,0.0,False,0.3593813663804626,0.5,0.6626778557949982,0.008746931935344851,0.18028495823071672,1.7859411913055077,0.28804908819818786,0.22290993071593534
NR4A3,0.0,0.0,False,0.3593813663804626,0.5,0.6588601078847779,0.001732927169846253,-0.11642782367164745,-2.0494412446547097,0.002236495010895745,0.10762124711316397
SPP1,0.0,0.0,False,0.3593813663804626,0.5,0.655506257541682,0.05361935491530036,0.4136179777794968,1.2472163118632074,0.5271629009442979,0.43602771362586606
ACO2,0.0,0.0,False,0.3593813663804626,0.5,0.6423404707082515,0.0030010950267435155,-0.14540192143285474,-1.751160877826521,0.26960278319379133,0.40739030023094686
